basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20251125,006370,KR7006370001,대구백화점,KOSPI,5740,80,1.41,5790,5790,5670,12398,70817790,10821611,62116047140
20251125,006380,KR7006380000,카프로,KOSPI,3660,0,0,0,0,0,0,0,168999996,618539985360
20251125,006400,KR7006400006,삼성SDI,KOSPI,284500,3500,1.25,288000,289000,281000,265462,75459232500,80585530,22926583285000
20251125,006405,KR7006401004,삼성SDI우,KOSPI,176000,1700,.98,176000,177700,172900,7538,1320430200,1617896,284749696000
20251125,006490,KR7006490007,인스코비,KOSPI,685,1,.15,685,700,675,269201,184706796,125886117,86231990145
20251125,006570,KR7006570006,대림통상,KOSPI,2350,-5,-.21,2350,2365,2340,5539,13030675,15225000,35778750000
20251125,006620,KR7006620009,동구바이오제약,KOSDAQ,5470,-70,-1.26,5580,5640,5390,268566,1474678995,28464992,155703506240
20251125,006650,KR7006650006,대한유화,KOSPI,135600,-500,-.37,137400,138000,134000,42948,5844005550,6500000,881400000000
20251125,006660,KR7006660005,삼성공조,KOSPI,14150,40,.28,14350,14480,13910,86566,1226356555,8126314,114987343100
20251125,006730,KR7006730006,서부T&D,KOSDAQ,11850,-700,-5.58,12330,12630,11630,1574348,18880406595,65426923,775309037550
20251125,006740,KR7006740005,블루산업개발,KOSPI,884,-2,-.23,884,890,863,152570,132934369,56975588,50366419792
20251125,006800,KR7006800007,미래에셋증권,KOSPI,21000,-200,-.94,21500,21950,20700,2900422,61753495925,570316408,11976644568000
20251125,006805,KR7006801005,미래에셋증권우,KOSPI,10090,-140,-1.37,10350,10580,10050,40817,417769030,14075750,142024317500
20251125,00680K,KR700680K019,미래에셋증권2우B,KOSPI,9600,-290,-2.93,9930,10010,9530,386945,3758780395,137500000,1320000000000
20251125,006840,KR7006840003,AK홀딩스,KOSPI,8990,0,0,9010,9060,8850,5653,50223980,13247561,119095573390
20251125,006880,KR7006880009,신송홀딩스,KOSPI,6530,-140,-2.1,6670,6730,6520,33714,223129340,11828858,77242442740
20251125,006890,KR7006890008,태경케미컬,KOSPI,7780,30,.39,7750,7800,7740,15901,123435650,11600000,90248000000
20251125,0068Y0,KR70068Y0003,비엔케이제3호스팩,KOSDAQ,1992,3,.15,1990,1997,1988,283597,564458335,4310000,8585520000
20251125,006910,KR7006910004,보성파워텍,KOSDAQ,5040,115,2.34,4985,5180,4950,1539502,7770932224,49129824,247614312960
20251125,006920,KR7006920003,모헨즈,KOSDAQ,2795,-25,-.89,2820,2850,2740,66406,184376967,10920000,30521400000
20251125,006980,KR7006980007,우성,KOSPI,16690,-60,-.36,16690,16720,16590,2256,37685400,3090000,51572100000
20251125,007070,KR7007070006,GS리테일,KOSPI,21900,0,0,21950,22150,21700,133480,2921300925,83607415,1831002388500
20251125,007110,KR7007110000,일신석재,KOSPI,1599,19,1.2,1585,1638,1579,474004,763569382,77456610,123853119390
20251125,007120,KR7007120009,미래아이앤지,KOSPI,821,1,.12,818,830,816,17789,14580705,28878608,23709337168
20251125,007160,KR7007160005,사조산업,KOSPI,48550,-1200,-2.41,49800,49950,48500,14067,689255200,5000000,242750000000
20251125,0071M0,KR70071M0002,삼성스팩11호,KOSDAQ,1997,-1,-.05,1998,1998,1995,14491,28923920,5760000,11502720000
