연번,과제명,사업명,공고명,세부공고명,사업년도,주관기관,관리기관,전문기관,산업기술분류
44,피혁 산업의 스마트 공정 전환을 위한 광학적 계평 및 폴딩 시스템 조합형 생산 설비 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)쎄코,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>기계 자동화 기술
45,"협동 로봇, MES 기반드럼세탁기용 와이어링 하네스 연속 테이핑 공정생산성 50% 향상 스마트 제조 시스템 개발",스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,삼보테크놀로지,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>로봇 비젼 및 생산자동화 기술
46,"460℃ 도금공정의 작업자 중대 재해 예방을 위한비전 알고리즘 분석 기술을 적용하는 감시, 제어 솔루션 개발",스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,인스피,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
47,밀폐작업장의 중대 재해 예방을 위해 머신비전과AI 기술을 적용하는 작업자 안전 예측 플랫폼 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 사람과기술,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>산업/일반 기계>산업/일반기계관련 S/W
48,데이터 증강을 통한 염색 원단 불량 검출을 위한 롤링 검단기 머신비전 기술개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,포인드주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
49,섬유 가공·공정 데이터를 활용한 AI·GPT 기반 제조·생산 기술 혁신,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사에이테크,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
50,생성형 AI 기반 지능형 공급망 컨트롤 타워(AI-SCCT) 개발 및 실증,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)디엑스솔루션즈,중소기업기술정보진흥원,중소기업기술정보진흥원,지식서비스>유통/ 물류 / 마케팅서비스>유통물류응용기술
51,이차전지 충방전 공정 in-line 불량 검출용 온도/압력분포 복합 센서 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,하이비스 주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,전기ㆍ전자>전지>이차전지
52,"PU폼 제조에 적합한 OCR기반 자율형 공정조건 추출 HW플랫폼 개발과,  이를 활용하여 자가학습 특징을 가지며 비중 및 3종의 물성추정이 가능한 PU폼 물성예측 SW개발",스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)이지지오,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>자동화 관련 계측/센서 기술
53,목재 파렛트 생산성 향상을 위한 로봇팔 활용 파렛트 제작시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,보림산업,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>조립/정밀 이송기술
54,AI 기반 공장 내 LED 조명 에너지 효율화를 위한 스마트 모니터링 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,브랜드뉴,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>요소부품>기타 요소부품
55,식품용 타블렛(Tablet)의 제조품질 향상을 위한 지능형 최적 품질조건 산출 및 제어기술의 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)엑타스,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>로봇 비젼 및 생산자동화 기술
56,XR 기반 제조현장 작업자 안전관리 지원 기술 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)딥이티,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>임베디드 SW
57,극소량 데이터로 자가학습 가능한 AI비전검사 기술의 자동차 부품생산 불량검사 현장적용,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 엠시스랩,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>기타 로봇/자동화기계 관련기술
58,물류 자동화 확장을 위한 딥러닝 영상인식 및 빅데이터 분석기반의 형상 측정제어 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,유징솔루션 주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>자동화 관련 계측/센서 기술
59,RMS/ROS(MES)가 적용된 다관절 로봇을 활용한 3차원 플라즈마 절단기,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)에스엘테크,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>기계 자동화 기술
60,중소기업용 재고관리 시스템 및 소요예측을 통한 자재 최적화 기술,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,이즈파크,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
61,로봇 코어 에이징 테스트를 위한 실시간 데이터 수집 및 분석 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,달리웍스주식회사,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
62,현장 작업자 이상감지를 위한 멀티모달 기반 AI 제조안전 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,더블유피솔루션즈(주),중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
63,AI 강화학습 및 초거대 언어모델 (LLM) 기반 물류 재고 시스템 연동 자율제조 이송로봇 (AMR) 관제 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,다임리서치(주),중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
64,광학식 3D 센서 기반 형상 및 표면 검사 알고리즘을 이용한 이종 디지털트윈 품질관리 플랫폼,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 포디아이비젼,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>로봇 비젼 및 생산자동화 기술
65,초임계 염색 설비 생산성 및 안전성 향상을 위한 인공지능 기반 스마트 제조 모니터링 센서 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,대주기계,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>산업/일반 기계>인쇄/섬유기계
66,수소 연료 전지차량용 솔레노이드밸브 시스템의 ROM 기반 설계 최적화 및 지능형 성능 검증 기술 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)디엔디이,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>자동차/철도차량>저공해 및 대체에너지 차량기술
67,인공지능 검사시스템을 활용한 식품제조업 특화 DX통합 플랫폼 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)에스엠해썹,중소기업기술정보진흥원,중소기업기술정보진흥원,전기ㆍ전자>반도체장비>측정/검사 장비
68,다품종 플라스틱 Member bushing 인서트 사출공정에서 AI 기술을 적용한 엣지 컴퓨팅 기반 능동제어 로봇 제조 시스템 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,미래산업,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>로봇 비젼 및 생산자동화 기술
